# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Spanish dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/spanish/spain_mfa/spanish_spain_mfa.dict, dictionary/spanish/latin_america_mfa/spanish_latin_america_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
definían	spain+latin-america	d̪ e f i ɲ i ã n
defiéndeme	spain	d̪ e f i ẽ n d̪ e m e
defiéndete	spain	d̪ e f i ẽ n d̪ e t̪ e
deflectores	latin-america	d̪ e f l e ɣ t̪ o ɾ e h
deflectores	latin-america	d̪ e f l e ɣ t̪ o ɾ e s
deforestación	latin-america	d̪ e f o ɾ e s t̪ a s j õ
deforestación	latin-america	d̪ e f o ɾ e s t̪ a s j õ n
deforestación	spain	d̪ e f o ɾ e s t̪ a θ j õ n
deforestadas	latin-america	d̪ e f o ɾ e s t̪ a ð a s
deforma	latin-america	d̪ e f o r m a
deforma	spain+latin-america	d̪ e f o ɾ m a
deformaba	spain	d̪ e f o ɾ m a β a
deformaciones	latin-america	d̪ e f o r m a s j o n e s
deformaciones	latin-america	d̪ e f o ɾ m a s j o n e s
deformaciones	spain	d̪ e f o ɾ m a θ j o n e s
deformación	latin-america	d̪ e f o r m a s j õ n
deformación	latin-america	d̪ e f o ɾ m a s j õ
deformación	latin-america	d̪ e f o ɾ m a s j õ n
deformación	spain	d̪ e f o ɾ m a θ j õ n
deformada	spain	d̪ e f o ɾ m a ð a
deformadas	latin-america	d̪ e f o r m a ð a s
deformadas	latin-america	d̪ e f o ɾ m a ð a s
deformado	spain	d̪ e f o ɾ m a ð o
deformados	spain+latin-america	d̪ e f o ɾ m a ð o s
deforme	spain+latin-america	d̪ e f o r m e
deforme	spain+latin-america	d̪ e f o ɾ m e
deformes	latin-america	d̪ e f o r m e s
deformes	spain+latin-america	d̪ e f o ɾ m e s
deformidad	latin-america	d̪ e f o r m i ð a
deformidad	latin-america	d̪ e f o r m i ð a ð
deformidad	spain+latin-america	d̪ e f o ɾ m i ð a ð
deformidades	latin-america	d̪ e f o r m i ð a ð e s
deformidades	spain+latin-america	d̪ e f o ɾ m i ð a ð e s
defrauda	spain	d̪ e f ɾ a w ð a
defraudaba	spain	d̪ e f ɾ a w ð a β a
defraudada	spain	d̪ e f ɾ a w ð a ð a
defraudadas	spain	d̪ e f ɾ a w ð a ð a s
defraudado	latin-america	d̪ e f r a w ð a ð o
defraudado	spain+latin-america	d̪ e f ɾ a w ð a ð o
defraudados	spain	d̪ e f ɾ a w ð a ð o s
defraudando	spain	d̪ e f ɾ a w ð ã n d̪ o
defraudar	spain	d̪ e f ɾ a w ð a ɾ
defraudarle	spain	d̪ e f ɾ a w ð a ɾ l e
defraude	spain	d̪ e f ɾ a w ð e
defraudó	spain+latin-america	d̪ e f ɾ a w ð o
defunciones	spain	d̪ e f ũ n θ j o n e s
defunción	latin-america	d̪ e f ũ n s j õ n
defunción	spain	d̪ e f ũ n θ j õ n
degenera	spain	d̪ e ç e n e ɾ a
degeneraba	spain	d̪ e ç e n e ɾ a β a
degeneración	latin-america	d̪ e ç e n e ɾ a s j õ
degeneración	latin-america	d̪ e ç e n e ɾ a s j õ n
degeneración	spain	d̪ e ç e n e ɾ a θ j õ n
degenerada	spain	d̪ e ç e n e ɾ a ð a
degeneradas	spain	d̪ e ç e n e ɾ a ð a s
degenerado	spain+latin-america	d̪ e ç e n e ɾ a ð o
degenerados	spain+latin-america	d̪ e ç e n e ɾ a ð o s
degenerando	spain	d̪ e ç e n e ɾ ã n d̪ o
degenerar	spain	d̪ e ç e n e ɾ a ɾ
degenerativa	latin-america	d̪ e ç e n e ɾ a t̪ i β a
degeneró	spain+latin-america	d̪ e ç e n e ɾ o
degollaba	spain	d̪ e ɣ o ʝ a β a
degollada	spain	d̪ e ɣ o ʝ a ð a
degolladas	spain	d̪ e ɣ o ʝ a ð a s
degolladero	spain	d̪ e ɣ o ʝ a ð e ɾ o
degollado	latin-america	d̪ e ɣ o ʃ a ð o
degollado	spain+latin-america	d̪ e ɣ o ʝ a ð o
degollados	spain	d̪ e ɣ o ʝ a ð o s
degollamos	spain	d̪ e ɣ o ʝ a m o s
degollando	spain	d̪ e ɣ o ʝ ã n d̪ o
degollar	spain	d̪ e ɣ o ʝ a ɾ
degollare	spain	d̪ e ɣ o ʝ a ɾ e
degollarla	spain	d̪ e ɣ o ʝ a ɾ l a
degollaron	spain	d̪ e ɣ o ʝ a ɾ õ n
degollarse	spain	d̪ e ɣ o ʝ a ɾ s e
degollará	latin-america	d̪ e ɣ o ʃ a ɾ a
degollará	spain+latin-america	d̪ e ɣ o ʝ a ɾ a
degollarán	spain	d̪ e ɣ o ʝ a ɾ ã n
degollaré	spain	d̪ e ɣ o ʝ a ɾ e
degollasen	spain	d̪ e ɣ o ʝ a s ẽ n
degollina	spain	d̪ e ɣ o ʝ i n a
degolló	spain	d̪ e ɣ o ʝ o
degrada	latin-america	d̪ e ɣ ɾ a ð a
degradaba	spain	d̪ e ɣ ɾ a ð a β a
degradaciones	spain	d̪ e ɣ ɾ a ð a θ j o n e s
degradación	latin-america	d̪ e ɣ r a ð a s j õ
degradación	latin-america	d̪ e ɣ r a ð a s j õ n
degradación	latin-america	d̪ e ɣ ɾ a ð a s j õ
degradación	latin-america	d̪ e ɣ ɾ a ð a s j õ n
degradación	spain	d̪ e ɣ ɾ a ð a θ j õ n
degradada	latin-america	d̪ e ɣ ɾ a ð a ð a
degradadas	latin-america	d̪ e ɣ ɾ a ð a ð a
degradadas	latin-america	d̪ e ɣ ɾ a ð a ð a h
degradadas	spain+latin-america	d̪ e ɣ ɾ a ð a ð a s
degradado	latin-america	d̪ e ɣ r a ð a ð o
degradado	spain+latin-america	d̪ e ɣ ɾ a ð a ð o
degradados	latin-america	d̪ e ɣ ɾ a ð a ð o h
degradados	spain+latin-america	d̪ e ɣ ɾ a ð a ð o s
degradan	spain+latin-america	d̪ e ɣ ɾ a ð ã n
degradando	latin-america	d̪ e ɣ ɾ a ð ã n d̪ o
degradante	spain	d̪ e ɣ ɾ a ð ã n t̪ e
degradar	latin-america	d̪ e ɣ ɾ a ð a
degradar	spain+latin-america	d̪ e ɣ ɾ a ð a ɾ
degradarse	spain	d̪ e ɣ ɾ a ð a ɾ s e
degrades	spain	d̪ e ɣ ɾ a ð e s
degradó	latin-america	d̪ e ɣ ɾ a ð o
degustación	latin-america	d̪ e ɣ u s t̪ a s j õ n
degustar	latin-america	d̪ e ɣ u s t̪ a r
degustar	spain+latin-america	d̪ e ɣ u s t̪ a ɾ
degüella	spain	d̪ e ɣ w e ʝ a
degüellan	spain	d̪ e ɣ w e ʝ ã n
degüello	spain	d̪ e ɣ w e ʝ o
dehesa	spain+latin-america	d̪ e e s a
dehesas	latin-america	d̪ e e s a h
dehesas	spain+latin-america	d̪ e e s a s
dehiscente	latin-america	d̪ e j s ẽ n t̪ e
dehiscente	spain	d̪ e j s θ ẽ n t̪ e
dehiscentes	latin-america	d̪ e j s ẽ n t̪ e s
deidad	spain+latin-america	d̪ e j ð a
deidad	spain+latin-america	d̪ e j ð a ð
deidades	latin-america	d̪ e j ð a ð e
deidades	latin-america	d̪ e j ð a ð e h
deidades	spain+latin-america	d̪ e j ð a ð e s
deificación	spain	d̪ e j f i k a θ j õ n
deimos	latin-america	d̪ e j m o
deimos	latin-america	d̪ e j m o s
deis	spain+latin-america	d̪ e j s
deja	spain+latin-america	d̪ e x a
dejaba	spain+latin-america	d̪ e x a β a
dejaban	spain+latin-america	d̪ e x a β ã n
dejabas	spain	d̪ e x a β a s
dejad	spain	d̪ e x a
dejad	spain+latin-america	d̪ e x a ð
dejada	spain+latin-america	d̪ e x a ð a
dejadas	spain+latin-america	d̪ e x a ð a s
dejadez	spain	d̪ e x a ð e θ
dejadla	spain	d̪ e x a ð l a
dejadle	spain	d̪ e x a ð l e
dejadlo	spain	d̪ e x a ð l o
dejadlos	spain	d̪ e x a ð l o s
dejadme	spain+latin-america	d̪ e x a ð m e
dejadnos	spain+latin-america	d̪ e x a ð n o s
dejado	spain+latin-america	d̪ e x a ð o
dejados	spain+latin-america	d̪ e x a ð o s
dejale	spain+latin-america	d̪ e x a l e
dejamiento	spain	d̪ e x a m j ẽ n t̪ o
dejamos	spain+latin-america	d̪ e x a m o
dejamos	spain+latin-america	d̪ e x a m o s
dejan	latin-america	d̪ e x ã
dejan	spain+latin-america	d̪ e x ã n
dejando	spain+latin-america	d̪ e x ã n d̪ o
dejaos	latin-america	d̪ e x a o h
dejaos	spain+latin-america	d̪ e x a o s
dejar	latin-america	d̪ e x a
dejar	spain+latin-america	d̪ e x a r
dejar	spain+latin-america	d̪ e x a ɾ
dejara	spain+latin-america	d̪ e x a ɾ a
dejarais	spain	d̪ e x a ɾ a j s
dejaran	spain+latin-america	d̪ e x a ɾ ã n
dejaras	spain	d̪ e x a ɾ a
dejaras	spain	d̪ e x a ɾ a s
dejare	spain	d̪ e x a ɾ e
dejaremos	latin-america	d̪ e x a ɾ e m o h
dejaremos	spain+latin-america	d̪ e x a ɾ e m o s
dejaren	spain	d̪ e x a ɾ ẽ n
dejares	spain	d̪ e x a ɾ e s
dejarla	spain+latin-america	d̪ e x a r l a
dejarla	spain+latin-america	d̪ e x a ɾ l a
dejarlas	spain	d̪ e x a ɾ l a s
dejarle	spain+latin-america	d̪ e x a r l e
dejarle	spain+latin-america	d̪ e x a ɾ l e
dejarles	spain	d̪ e x a r l e s
dejarles	spain	d̪ e x a ɾ l e s
dejarlo	spain+latin-america	d̪ e x a r l o
dejarlo	spain+latin-america	d̪ e x a ɾ l o
dejarlos	latin-america	d̪ e x a r l o s
dejarlos	spain+latin-america	d̪ e x a ɾ l o s
dejarme	spain+latin-america	d̪ e x a r m e
dejarme	spain+latin-america	d̪ e x a ɾ m e
dejarnos	spain+latin-america	d̪ e x a r n o s
dejarnos	spain+latin-america	d̪ e x a ɾ n o s
dejaron	latin-america	d̪ e x a ɾ õ
dejaron	spain+latin-america	d̪ e x a ɾ õ n
dejaros	spain+latin-america	d̪ e x a ɾ o s
dejarse	spain+latin-america	d̪ e x a r s e
dejarse	spain+latin-america	d̪ e x a ɾ s e
dejarte	spain+latin-america	d̪ e x a ɾ t̪ e
dejará	spain+latin-america	d̪ e x a ɾ a
dejarán	spain+latin-america	d̪ e x a ɾ ã n
dejarás	latin-america	d̪ e x a ɾ a
dejarás	latin-america	d̪ e x a ɾ a h
dejarás	spain+latin-america	d̪ e x a ɾ a s
dejaré	spain+latin-america	d̪ e x a ɾ e
dejaréis	spain	d̪ e x a ɾ e j s
dejaría	spain+latin-america	d̪ e x a ɾ i a
dejaríais	spain	d̪ e x a ɾ i a j s
dejaríamos	spain	d̪ e x a ɾ i a m o s
dejarían	spain+latin-america	d̪ e x a ɾ i ã n
dejarías	spain	d̪ e x a ɾ i a s
dejas	spain+latin-america	d̪ e x a s
dejase	spain+latin-america	d̪ e x a s e
dejaseis	spain	d̪ e x a s e j s
dejasen	spain	d̪ e x a s ẽ n
dejases	spain	d̪ e x a s e s
dejaste	spain+latin-america	d̪ e x a s t̪ e
dejasteis	spain	d̪ e x a s t̪ e j s
deje	spain+latin-america	d̪ e ç e
dejemos	spain+latin-america	d̪ e ç e m o s
dejen	spain+latin-america	d̪ e ç ẽ n
dejes	spain	d̪ e ç e
dejes	spain+latin-america	d̪ e ç e s
dejo	spain+latin-america	d̪ e x o
dejome	spain	d̪ e x o m e
dejos	spain	d̪ e x o s
dejose	spain	d̪ e x o s e
dejá	spain	d̪ e x a
dejábamos	spain	d̪ e x a β a m o s
dejábase	spain+latin-america	d̪ e x a β a s e
dejádmele	spain	d̪ e x a ð m e l e
dejádmelo	spain	d̪ e x a ð m e l o
dejádome	spain	d̪ e x a d̪ o m e
dejáis	spain	d̪ e x a j s
dejállose	spain	d̪ e x a ʝ o s e
dejándola	spain+latin-america	d̪ e x ã n d̪ o l a
dejándolas	spain	d̪ e x ã n d̪ o l a s
dejándole	spain+latin-america	d̪ e x ã n d̪ o l e
dejándoles	spain	d̪ e x ã n d̪ o l e s
dejándolo	spain+latin-america	d̪ e x ã n d̪ o l o
dejándolos	latin-america	d̪ e x ã n d̪ o l o h
dejándolos	spain+latin-america	d̪ e x ã n d̪ o l o s
dejándome	spain+latin-america	d̪ e x ã n d̪ o m e
dejándonos	spain	d̪ e x ã n d̪ o n o s
dejándose	spain	d̪ e x ã n d̪ o s e
dejándosela	spain	d̪ e x ã n d̪ o s e l a
dejándote	spain	d̪ e x ã n d̪ o t̪ e
dejárame	spain	d̪ e x a ɾ a m e
dejáramos	spain	d̪ e x a ɾ a m o s
dejármelo	spain	d̪ e x a ɾ m e l o
dejáronlas	spain	d̪ e x a ɾ õ l a s
dejáronle	spain	d̪ e x a ɾ õ n l e
dejáronlos	spain	d̪ e x a ɾ õ n l o s
dejáronme	spain	d̪ e x a ɾ õ m e
dejáronse	spain	d̪ e x a ɾ õ n s e
dejársela	spain	d̪ e x a ɾ s e l a
dejársele	spain	d̪ e x a ɾ s e l e
dejárselo	spain	d̪ e x a ɾ s e l o
dejárselos	spain	d̪ e x a ɾ s e l o s
dejásemos	spain	d̪ e x a s e m o s
dejé	spain+latin-america	d̪ e ç e
dejéis	spain	d̪ e ç e j s
dejéle	spain	d̪ e ç e l e
dejélos	spain	d̪ e ç e l o s
dejéme	spain	d̪ e ç e m e
dejémonos	spain	d̪ e ç e m o n o s
dejémosla	spain	d̪ e ç e m o s l a
dejémosle	spain	d̪ e ç e m o s l e
dejémosles	spain	d̪ e ç e m o s l e s
dejémoslo	spain	d̪ e ç e m o s l o
dejémoslos	spain	d̪ e ç e m o s l o s
dejó	spain+latin-america	d̪ e x o
dejóla	spain	d̪ e x o l a
dejóle	spain	d̪ e x o l e
dejólo	spain	d̪ e x o l o
dejóme	spain	d̪ e x o m e
dejóse	spain+latin-america	d̪ e x o s e
del	spain+latin-america	d̪ e l
dela	spain+latin-america	d̪ e l a
delación	latin-america	d̪ e l a s j õ n
delación	spain	d̪ e l a θ j õ n
delantal	spain+latin-america	d̪ e l ã n t̪ a l
delantales	spain+latin-america	d̪ e l ã n t̪ a l e s
delante	spain+latin-america	d̪ e l ã n t̪ e
delantera	spain+latin-america	d̪ e l ã n t̪ e ɾ a
delanteras	latin-america	d̪ e l ã n t̪ e ɾ a
delanteras	latin-america	d̪ e l ã n t̪ e ɾ a h
delanteras	spain+latin-america	d̪ e l ã n t̪ e ɾ a s
delantero	spain+latin-america	d̪ e l ã n t̪ e ɾ o
delanteros	latin-america	d̪ e l ã n t̪ e ɾ o
delanteros	spain+latin-america	d̪ e l ã n t̪ e ɾ o s
delata	spain+latin-america	d̪ e l a t̪ a
delataba	spain	d̪ e l a t̪ a β a
delataban	spain	d̪ e l a t̪ a β ã n
delatado	spain+latin-america	d̪ e l a t̪ a ð o
delatados	latin-america	d̪ e l a t̪ a ð o s
delatando	spain	d̪ e l a t̪ ã n d̪ o
delatar	spain	d̪ e l a t̪ a ɾ
delatarle	spain	d̪ e l a t̪ a ɾ l e
delataron	spain	d̪ e l a t̪ a ɾ õ n
delatarse	spain	d̪ e l a t̪ a ɾ s e
delatará	spain	d̪ e l a t̪ a ɾ a
delatase	spain	d̪ e l a t̪ a s e
delatasen	spain	d̪ e l a t̪ a s ẽ n
delator	spain+latin-america	d̪ e l a t̪ o ɾ
delatores	spain	d̪ e l a t̪ o ɾ e s
delató	spain	d̪ e l a t̪ o
delaware	spain+latin-america	d̪ e l a w a ɾ e
delaía	spain	d̪ e l a i a
dele	spain	d̪ e l e
delectación	spain	d̪ e l e ɣ t̪ a θ j õ n
delegaciones	latin-america	d̪ e l e ɣ a s j o n e
delegaciones	latin-america	d̪ e l e ɣ a s j o n e h
delegaciones	latin-america	d̪ e l e ɣ a s j o n e s
delegaciones	spain	d̪ e l e ɣ a θ j o n e s
delegación	latin-america	d̪ e l e ɣ a s j õ
delegación	latin-america	d̪ e l e ɣ a s j õ n
delegación	spain	d̪ e l e ɣ a θ j õ n
delegada	latin-america	d̪ e l e ɣ a ð a
delegadas	latin-america	d̪ e l e ɣ a ð a s
delegado	spain+latin-america	d̪ e l e ɣ a ð o
delegados	latin-america	d̪ e l e ɣ a ð o
delegados	latin-america	d̪ e l e ɣ a ð o h
delegados	spain+latin-america	d̪ e l e ɣ a ð o s
delegar	spain+latin-america	d̪ e l e ɣ a ɾ
delegó	spain	d̪ e l e ɣ o
deleita	spain+latin-america	d̪ e l e j t̪ a
deleitaba	spain	d̪ e l e j t̪ a β a
deleitaban	spain	d̪ e l e j t̪ a β ã n
deleitable	spain	d̪ e l e j t̪ a β l e
deleitables	spain	d̪ e l e j t̪ a β l e s
deleitado	spain+latin-america	d̪ e l e j t̪ a ð o
deleitan	spain+latin-america	d̪ e l e j t̪ ã n
deleitando	spain	d̪ e l e j t̪ ã n d̪ o
deleitar	spain	d̪ e l e j t̪ a ɾ
deleitarme	spain	d̪ e l e j t̪ a ɾ m e
deleitaron	spain	d̪ e l e j t̪ a ɾ õ n
deleitarse	latin-america	d̪ e l e j t̪ a r s e
deleitarse	spain+latin-america	d̪ e l e j t̪ a ɾ s e
deleitaréme	spain	d̪ e l e j t̪ a ɾ e m e
deleite	spain+latin-america	d̪ e l e j t̪ e
deleiten	spain	d̪ e l e j t̪ ẽ n
deleites	spain	d̪ e l e j t̪ e s
deleito	spain	d̪ e l e j t̪ o
deleitosa	spain	d̪ e l e j t̪ o s a
deleitoso	spain	d̪ e l e j t̪ o s o
deleitosos	spain	d̪ e l e j t̪ o s o s
deleitábase	spain	d̪ e l e j t̪ a β a s e
deleitándose	spain	d̪ e l e j t̪ ã n d̪ o s e
deleitó	spain	d̪ e l e j t̪ o
deletreaba	spain	d̪ e l e t̪ ɾ e a β a
deletreando	spain	d̪ e l e t̪ ɾ e ã n d̪ o
deletrear	spain	d̪ e l e t̪ ɾ e a ɾ
deletéreos	latin-america	d̪ e l e t̪ e ɾ e o s
deleznable	spain	d̪ e l e θ n a β l e
delfina	spain+latin-america	d̪ e l f i n a
delfinado	spain	d̪ e l f i n a ð o
delfines	latin-america	d̪ e l f i n e
delfines	spain+latin-america	d̪ e l f i n e s
delfios	spain	d̪ e l f j o s
delfín	spain+latin-america	d̪ e l f ĩ n
delgada	spain+latin-america	d̪ e l ɣ a ð a
delgadas	latin-america	d̪ e l ɣ a ð a
delgadas	latin-america	d̪ e l ɣ a ð a h
delgadas	spain+latin-america	d̪ e l ɣ a ð a s
delgadez	latin-america	d̪ e l ɣ a ð e s
delgadez	spain	d̪ e l ɣ a ð e θ
delgadita	spain	d̪ e l ɣ a ð i t̪ a
delgadito	spain	d̪ e l ɣ a ð i t̪ o
delgado	spain+latin-america	d̪ e l ɣ a ð o
delgados	latin-america	d̪ e l ɣ a ð o
delgados	latin-america	d̪ e l ɣ a ð o h
delgados	spain+latin-america	d̪ e l ɣ a ð o s
delgadísimo	spain	d̪ e l ɣ a ð i s i m o
delhi	spain+latin-america	d̪ e ʎ i
delia	spain+latin-america	d̪ e ʎ j a
deliberaba	spain	d̪ e ʎ i β e ɾ a β a
deliberaban	spain	d̪ e ʎ i β e ɾ a β ã n
deliberaciones	latin-america	d̪ e ʎ i β e ɾ a s j o n e h
deliberaciones	latin-america	d̪ e ʎ i β e ɾ a s j o n e s
deliberaciones	spain	d̪ e ʎ i β e ɾ a θ j o n e s
deliberación	latin-america	d̪ e ʎ i β e ɾ a s j õ n
deliberación	spain	d̪ e ʎ i β e ɾ a θ j õ n
deliberad	spain	d̪ e ʎ i β e ɾ a ð
deliberada	spain+latin-america	d̪ e ʎ i β e ɾ a ð a
deliberadamente	spain+latin-america	d̪ e ʎ i β e ɾ a ð a m ẽ n t̪ e
deliberado	spain+latin-america	d̪ e ʎ i β e ɾ a ð o
deliberamos	spain	d̪ e ʎ i β e ɾ a m o s
deliberan	spain	d̪ e ʎ i β e ɾ ã n
deliberando	spain	d̪ e ʎ i β e ɾ ã n d̪ o
deliberante	latin-america	d̪ e ʎ i β e ɾ ã n t̪ e
deliberar	spain	d̪ e ʎ i β e ɾ a ɾ
deliberaremos	spain	d̪ e ʎ i β e ɾ a ɾ e m o s
deliberaron	spain	d̪ e ʎ i β e ɾ a ɾ õ n
deliberativo	latin-america	d̪ e ʎ i β e ɾ a t̪ i β o
deliberemos	spain	d̪ e ʎ i β e ɾ e m o s
deliberes	spain	d̪ e ʎ i β e ɾ e s
deliberó	spain	d̪ e ʎ i β e ɾ o
delicada	spain+latin-america	d̪ e ʎ i k a ð a
delicadamente	spain+latin-america	d̪ e ʎ i k a ð a m ẽ n t̪ e
delicadas	latin-america	d̪ e ʎ i k a ð a
delicadas	spain+latin-america	d̪ e ʎ i k a ð a s
delicadeza	latin-america	d̪ e ʎ i k a ð e s a
delicadeza	spain	d̪ e ʎ i k a ð e θ a
delicadezas	latin-america	d̪ e ʎ i k a ð e s a s
delicadezas	spain	d̪ e ʎ i k a ð e θ a s
delicado	spain+latin-america	d̪ e ʎ i k a ð o
delicados	latin-america	d̪ e ʎ i k a ð o h
delicados	spain+latin-america	d̪ e ʎ i k a ð o s
delicadísima	spain	d̪ e ʎ i k a ð i s i m a
delicadísimas	spain	d̪ e ʎ i k a ð i s i m a s
delicadísimo	spain	d̪ e ʎ i k a ð i s i m o
delicadísimos	spain	d̪ e ʎ i k a ð i s i m o s
delicia	spain	d̪ e ʎ i θ j a
delicia	spain+latin-america	d̪ e ʎ i s j a
delicias	latin-america	d̪ e ʎ i s j a h
delicias	latin-america	d̪ e ʎ i s j a s
delicias	spain	d̪ e ʎ i θ j a s
deliciosa	latin-america	d̪ e ʎ i s j o s a
deliciosa	spain	d̪ e ʎ i θ j o s a
deliciosamente	spain	d̪ e ʎ i θ j o s a m ẽ n t̪ e
deliciosas	spain	d̪ e ʎ i θ j o s a s
delicioso	latin-america	d̪ e ʎ i s j o s o
delicioso	spain	d̪ e ʎ i θ j o s o
deliciosos	latin-america	d̪ e ʎ i s j o s o
deliciosos	latin-america	d̪ e ʎ i s j o s o s
deliciosos	spain	d̪ e ʎ i θ j o s o s
deliciosísimo	spain	d̪ e ʎ i θ j o s i s i m o
delictiva	latin-america	d̪ e ʎ i ɣ t̪ i β a
delictivas	latin-america	d̪ e ʎ i ɣ t̪ i β a s
delictivo	latin-america	d̪ e ʎ i ɣ t̪ i β o
delictivos	latin-america	d̪ e ʎ i ɣ t̪ i β o h
delictivos	latin-america	d̪ e ʎ i ɣ t̪ i β o s
delimita	latin-america	d̪ e ʎ i m i t̪ a
delimitaciones	latin-america	d̪ e ʎ i m i t̪ a s j o n e s
delimitación	latin-america	d̪ e ʎ i m i t̪ a s j õ n
delimitada	spain+latin-america	d̪ e ʎ i m i t̪ a ð a
delimitadas	latin-america	d̪ e ʎ i m i t̪ a ð a
delimitadas	latin-america	d̪ e ʎ i m i t̪ a ð a h
delimitadas	latin-america	d̪ e ʎ i m i t̪ a ð a s
delimitado	latin-america	d̪ e ʎ i m i t̪ a ð o
delimitados	latin-america	d̪ e ʎ i m i t̪ a ð o h
delimitados	latin-america	d̪ e ʎ i m i t̪ a ð o s
delimitan	spain+latin-america	d̪ e ʎ i m i t̪ ã n
delimitando	latin-america	d̪ e ʎ i m i t̪ ã n d̪ o
delimitar	latin-america	d̪ e ʎ i m i t̪ a r
delimitar	latin-america	d̪ e ʎ i m i t̪ a ɾ
delimitará	latin-america	d̪ e ʎ i m i t̪ a ɾ a
delincuencia	latin-america	d̪ e ʎ ĩ ŋ k w ẽ n s j a
delincuencia	spain	d̪ e ʎ ĩ ŋ k w ẽ n θ j a
delincuente	spain+latin-america	d̪ e ʎ ĩ ŋ k w ẽ n t̪ e
delincuentes	latin-america	d̪ e ʎ ĩ ŋ k w ẽ n t̪ e
delincuentes	spain+latin-america	d̪ e ʎ ĩ ŋ k w ẽ n t̪ e s
delineaba	spain	d̪ e ʎ i n e a β a
delineaban	spain	d̪ e ʎ i n e a β ã n
delineada	spain+latin-america	d̪ e ʎ i n e a ð a
delineado	spain+latin-america	d̪ e ʎ i n e a ð o
delineante	latin-america	d̪ e ʎ i n e ã n t̪ e
delinear	spain+latin-america	d̪ e ʎ i n e a ɾ
delineó	spain	d̪ e ʎ i n e o
delinquido	spain	d̪ e ʎ ĩ ɲ c i ð o
delinquiere	spain	d̪ e ʎ ĩ ɲ c j e ɾ e
delinquieron	spain	d̪ e ʎ ĩ ɲ c j e ɾ õ n
delinquir	spain	d̪ e ʎ ĩ ɲ c i ɾ
deliquio	spain	d̪ e ʎ i c j o
delira	spain+latin-america	d̪ e ʎ i ɾ a
deliraba	spain	d̪ e ʎ i ɾ a β a
delirabais	spain	d̪ e ʎ i ɾ a β a j s
delirado	spain	d̪ e ʎ i ɾ a ð o
delirando	spain	d̪ e ʎ i ɾ ã n d̪ o
delirante	spain+latin-america	d̪ e ʎ i ɾ ã n t̪ e
delirantes	spain	d̪ e ʎ i ɾ ã n t̪ e s
delirar	spain	d̪ e ʎ i ɾ a ɾ
deliraré	spain	d̪ e ʎ i ɾ a ɾ e
deliras	spain	d̪ e ʎ i ɾ a s
delirio	spain+latin-america	d̪ e ʎ i ɾ j o
delirios	spain+latin-america	d̪ e ʎ i ɾ j o s
deliro	spain	d̪ e ʎ i ɾ o
deliráis	spain	d̪ e ʎ i ɾ a j s
delito	spain+latin-america	d̪ e ʎ i t̪ o
delitos	latin-america	d̪ e ʎ i t̪ o
delitos	latin-america	d̪ e ʎ i t̪ o h
delitos	spain+latin-america	d̪ e ʎ i t̪ o s
della	latin-america	d̪ e ʃ a
della	spain+latin-america	d̪ e ʝ a
dellas	spain	d̪ e ʝ a s
dello	spain	d̪ e ʝ o
dellos	spain	d̪ e ʝ o s
delos	latin-america	d̪ e l o h
delos	spain+latin-america	d̪ e l o s
delta	spain+latin-america	d̪ e l t̪ a
deltas	spain	d̪ e l t̪ a s
deltoides	latin-america	d̪ e l t̪ o j ð e s
deluxe	spain+latin-america	d̪ e l u ɣ s
demacración	spain	d̪ e m a k ɾ a θ j õ n
demacrada	spain	d̪ e m a k ɾ a ð a
demacrado	spain	d̪ e m a k ɾ a ð o
demacrados	spain	d̪ e m a k ɾ a ð o s
demagogia	spain	d̪ e m a ɣ o ç j a
demagogo	spain	d̪ e m a ɣ o ɣ o
demagogos	spain+latin-america	d̪ e m a ɣ o ɣ o s
demagógico	spain	d̪ e m a ɣ o ç i k o
demanda	spain+latin-america	d̪ e m ã n d̪ a
demandaba	spain+latin-america	d̪ e m ã n d̪ a β a
demandaban	latin-america	d̪ e m ã n d̪ a β ã
demandaban	spain+latin-america	d̪ e m ã n d̪ a β ã n
demandada	spain+latin-america	d̪ e m ã n d̪ a ð a
demandadera	spain	d̪ e m ã n d̪ a ð e ɾ a
demandadero	spain	d̪ e m ã n d̪ a ð e ɾ o
demandado	spain+latin-america	d̪ e m ã n d̪ a ð o
demandador	spain	d̪ e m ã n d̪ a ð o ɾ
demandados	latin-america	d̪ e m ã n d̪ a ð o s
demandamiento	spain	d̪ e m ã n d̪ a m j ẽ n t̪ o
demandan	latin-america	d̪ e m ã n d̪ ã n
demandando	spain+latin-america	d̪ e m ã n d̪ ã n d̪ o
demandante	spain+latin-america	d̪ e m ã n d̪ ã n t̪ e
demandantes	spain+latin-america	d̪ e m ã n d̪ ã n t̪ e s
demandar	spain	d̪ e m ã n d̪ a r
demandar	spain+latin-america	d̪ e m ã n d̪ a ɾ
demandara	spain	d̪ e m ã n d̪ a ɾ a
demandaremos	spain	d̪ e m ã n d̪ a ɾ e m o s
demandaron	spain	d̪ e m ã n d̪ a ɾ õ n
demandará	spain	d̪ e m ã n d̪ a ɾ a
